"","team","No.","Pos.","Player","Date of birth (age)","Caps","Club"
"236","Kenya",6,"2DF","Bernard Ochieng","(1996-01-25)25 January 1996 (aged 23)",2,"Vihiga United"
"237","Kenya",7,"3MF","Ayub Masika","(1992-09-10)10 September 1992 (aged 26)",16,"Beijing Renhe"
"238","Kenya",8,"3MF","Johanna Omolo","(1989-07-31)31 July 1989 (aged 29)",21,"Cercle Brugge"
"239","Kenya",9,"4FW","John Avire","(1997-03-12)12 March 1997 (aged 22)",0,"Sofapaka"
"240","Kenya",10,"3MF","Eric Johanna","(1994-11-08)8 November 1994 (aged 24)",23,"Brommapojkarna"
"241","Kenya",11,"3MF","Francis Kahata","(1992-07-04)4 July 1992 (aged 26)",32,"Gor Mahia"
"242","Kenya",12,"3MF","Victor Wanyama","(1991-06-25)25 June 1991 (aged 27)",53,"Tottenham Hotspur"
"243","Kenya",13,"2DF","Eric Ouma","(1996-09-27)27 September 1996 (aged 22)",18,"Vasalund"
"244","Kenya",14,"4FW","Michael Olunga","(1994-03-26)26 March 1994 (aged 25)",31,"Kashiwa Reysol"
"245","Kenya",15,"2DF","David Owino","(1988-04-05)5 April 1988 (aged 31)",52,"ZESCO United"
"246","Kenya",16,"3MF","Paul Were","(1993-10-08)8 October 1993 (aged 25)",32,"Trikala"
"247","Kenya",17,"3MF","Ismael Athuman","(1995-02-01)1 February 1995 (aged 24)",9,"Las Palmas Atlético"
"248","Kenya",18,"1GK","Patrick Matasi","(1987-12-11)11 December 1987 (aged 31)",19,"Saint George"
"249","Kenya",19,"3MF","Ovella Ochieng","(1999-12-23)23 December 1999 (aged 19)",15,"Vasalund"
"250","Kenya",20,"2DF","Philemon Otieno","(1992-10-18)18 October 1992 (aged 26)",6,"Gor Mahia"
"251","Kenya",21,"3MF","Dennis Odhiambo","(1985-03-18)18 March 1985 (aged 34)",27,"Sofapaka"
"252","Kenya",22,"4FW","Masoud Juma","(1996-02-03)3 February 1996 (aged 23)",6,"Al-Nasr"
"253","Kenya",23,"1GK","John Oyemba","(1993-06-03)3 June 1993 (aged 26)",0,"Kariobangi Sharks"
"254","Tanzania",1,"1GK","Aron Kalambo","(1994-07-13)13 July 1994 (aged 24)",0,"Tanzania Prisons"
"255","Tanzania",2,"2DF","Gadiel Kamagi","(1996-09-12)12 September 1996 (aged 22)",21,"Young Africans"
"256","Tanzania",3,"3MF","Feisal Salum","(1998-01-11)11 January 1998 (aged 21)",4,"Young Africans"
"257","Tanzania",4,"3MF","Erasto Nyoni","(1988-05-07)7 May 1988 (aged 31)",79,"Simba"
"258","Tanzania",5,"2DF","Kelvin Yondan","(1984-10-09)9 October 1984 (aged 34)",69,"Young Africans"
"259","Tanzania",6,"2DF","Aggrey Morris","(1984-03-12)12 March 1984 (aged 35)",46,"Azam"
"260","Tanzania",7,"3MF","Himid Mao","(1992-11-05)5 November 1992 (aged 26)",46,"Petrojet"
"261","Tanzania",8,"3MF","Frank Domayo","(1993-02-16)16 February 1993 (aged 26)",33,"Azam"
"262","Tanzania",9,"4FW","Adi Yussuf","(1992-02-20)20 February 1992 (aged 27)",0,"Blackpool"
"263","Tanzania",10,"4FW","Mbwana Samatta (captain)","(1992-12-23)23 December 1992 (aged 26)",47,"Genk"
"264","Tanzania",11,"4FW","Thomas Ulimwengu","(1993-06-14)14 June 1993 (aged 26)",45,"JS Saoura"
"265","Tanzania",12,"4FW","Simon Msuva","(1993-10-02)2 October 1993 (aged 25)",48,"Difaâ El Jadidi"
"266","Tanzania",13,"1GK","Metacha Mnata","(1998-11-25)25 November 1998 (aged 20)",0,"Mbao"
"267","Tanzania",14,"4FW","Raphael Bocco","(1989-08-05)5 August 1989 (aged 29)",61,"Simba"
"268","Tanzania",15,"2DF","Mohamed Husseini","(1996-11-01)1 November 1996 (aged 22)",12,"Simba"
"269","Tanzania",16,"4FW","Rashid Mandawa","(1994-05-05)5 May 1994 (aged 25)",5,"Botswana Defence Force XI"
"270","Tanzania",17,"4FW","Faridi Mussa","(1996-06-21)21 June 1996 (aged 23)",18,"Tenerife B"
"271","Tanzania",18,"1GK","Aishi Manula","(1995-09-13)13 September 1995 (aged 23)",28,"Simba"
"272","Tanzania",19,"2DF","Vicent Philipo","(1996-02-01)1 February 1996 (aged 23)",0,"Mbao"
"273","Tanzania",20,"2DF","Ally Mtoni","(1993-03-13)13 March 1993 (aged 26)",2,"Lipuli"
"274","Tanzania",21,"4FW","Yahya Zayd","(1998-03-10)10 March 1998 (aged 21)",4,"Ismaily"
"275","Tanzania",22,"3MF","Hassan Kessy","(1994-12-25)25 December 1994 (aged 24)",8,"Nkana"
"276","Tanzania",23,"3MF","Mudathir Yahya","(1996-05-06)6 May 1996 (aged 23)",13,"Azam"
"277","Morocco",1,"1GK","Yassine Bounou","(1991-04-05)5 April 1991 (aged 28)",15,"Girona"
"278","Morocco",2,"2DF","Achraf Hakimi","(1998-11-04)4 November 1998 (aged 20)",19,"Borussia Dortmund"
"279","Morocco",3,"2DF","Noussair Mazraoui","(1997-11-14)14 November 1997 (aged 21)",4,"Ajax"
"280","Morocco",4,"2DF","Achraf Dari","(1999-05-06)6 May 1999 (aged 20)",0,"Wydad Casablanca"
"281","Morocco",5,"2DF","Medhi Benatia","(1987-04-17)17 April 1987 (aged 32)",62,"Al-Duhail"
"282","Morocco",6,"2DF","Romain Saïss","(1990-03-26)26 March 1990 (aged 29)",33,"Wolverhampton Wanderers"
"283","Morocco",7,"3MF","Hakim Ziyech","(1993-03-19)19 March 1993 (aged 26)",23,"Ajax"
"284","Morocco",8,"3MF","Karim El Ahmadi","(1985-01-27)27 January 1985 (aged 34)",61,"Al-Ittihad"
"285","Morocco",9,"3MF","Sofiane Boufal","(1993-09-17)17 September 1993 (aged 25)",9,"Celta Vigo"
"286","Morocco",10,"3MF","Younès Belhanda","(1990-02-25)25 February 1990 (aged 29)",53,"Galatasaray"
"287","Morocco",11,"3MF","Fayçal Fajr","(1988-08-01)1 August 1988 (aged 30)",31,"Caen"
"288","Morocco",12,"1GK","Munir Mohand Mohamedi","(1989-05-10)10 May 1989 (aged 30)",34,"Málaga"
"289","Morocco",13,"4FW","Khalid Boutaïb","(1987-04-24)24 April 1987 (aged 32)",22,"Zamalek"
"290","Morocco",14,"3MF","Mbark Boussoufa","(1984-08-15)15 August 1984 (aged 34)",66,"Al-Shabab"
"291","Morocco",15,"3MF","Youssef Aït Bennasser","(1996-07-07)7 July 1996 (aged 22)",19,"Saint-Étienne"
"292","Morocco",16,"4FW","Nordin Amrabat","(1987-03-31)31 March 1987 (aged 32)",52,"Al-Nassr"
"293","Morocco",17,"2DF","Nabil Dirar","(1986-02-25)25 February 1986 (aged 33)",39,"Fenerbahçe"
"294","Morocco",18,"3MF","Mehdi Bourabia","(1991-07-08)8 July 1991 (aged 27)",3,"Sassuolo"
"295","Morocco",19,"4FW","Youssef En-Nesyri","(1997-06-01)1 June 1997 (aged 22)",22,"Leganés"
"296","Morocco",20,"4FW","Oussama Idrissi","(1996-02-26)26 February 1996 (aged 23)",2,"AZ"
"297","Morocco",21,"2DF","Yunis Abdelhamid","(1987-09-28)28 September 1987 (aged 31)",4,"Reims"
"298","Morocco",22,"1GK","Ahmed Reda Tagnaouti","(1996-04-05)5 April 1996 (aged 23)",2,"Wydad Casablanca"
"299","Morocco",23,"2DF","Abdelkrim Baadi","(1996-04-14)14 April 1996 (aged 23)",2,"Hassania Agadir"
"300","Ivory Coast",1,"1GK","Tape Ira Eliezer","(1997-08-31)31 August 1997 (aged 21)",0,"San Pedro"
"301","Ivory Coast",2,"2DF","Wonlo Coulibaly","(1991-12-22)22 December 1991 (aged 27)",1,"ASEC Mimosas"
"302","Ivory Coast",3,"2DF","Souleyman Doumbia","(1996-09-24)24 September 1996 (aged 22)",0,"Rennes"
"303","Ivory Coast",4,"2DF","Jean-Philippe Gbamin","(1995-09-25)September 25, 1995 (aged 23)",6,"Mainz 05"
"304","Ivory Coast",5,"2DF","Wilfried Kanon","(1993-07-06)6 July 1993 (aged 25)",35,"ADO Den Haag"
"305","Ivory Coast",6,"2DF","Ismaël Traoré","(1986-08-18)18 August 1986 (aged 32)",5,"Angers"
"306","Ivory Coast",7,"3MF","Victorien Angban","(1996-09-29)September 29, 1996 (aged 22)",8,"Metz"
"307","Ivory Coast",8,"3MF","Franck Kessié","(1996-12-19)December 19, 1996 (aged 22)",28,"Milan"
"308","Ivory Coast",9,"4FW","Wilfried Zaha","(1992-11-10)November 10, 1992 (aged 26)",9,"Crystal Palace"
"309","Ivory Coast",10,"3MF","Jean Michaël Seri","(1991-07-19)July 19, 1991 (aged 27)",23,"Fulham"
"310","Ivory Coast",11,"4FW","Maxwel Cornet","(1996-09-27)September 27, 1996 (aged 22)",10,"Lyon"
"311","Ivory Coast",12,"4FW","Wilfried Bony","(1988-12-10)December 10, 1988 (aged 30)",52,"Al-Arabi"
"312","Ivory Coast",13,"4FW","Roger Assalé","(1993-11-13)November 13, 1993 (aged 25)",14,"Young Boys"
"313","Ivory Coast",14,"4FW","Jonathan Kodjia","(1989-10-22)October 22, 1989 (aged 29)",17,"Aston Villa"
"314","Ivory Coast",15,"3MF","Max Gradel","(1987-11-30)November 30, 1987 (aged 31)",65,"Toulouse"
"315","Ivory Coast",16,"1GK","Sylvain Gbohouo","(1988-10-29)29 October 1988 (aged 30)",40,"Mazembe"
"316","Ivory Coast",17,"2DF","Serge Aurier","(1992-12-24)24 December 1992 (aged 26)",52,"Tottenham Hotspur"
"317","Ivory Coast",18,"3MF","Ibrahim Sangaré","(1997-12-02)December 2, 1997 (aged 21)",2,"Toulouse"
"318","Ivory Coast",19,"4FW","Nicolas Pépé","(1995-05-20)May 20, 1995 (aged 24)",11,"Lille"
"319","Ivory Coast",20,"3MF","Serey Dié","(1984-11-07)November 7, 1984 (aged 34)",44,"Neuchâtel Xamax"
"320","Ivory Coast",21,"2DF","Cheick Comara","(1993-10-14)14 October 1993 (aged 25)",9,"Wydad Casablanca"
"321","Ivory Coast",22,"2DF","Mamadou Bagayoko","(1989-12-31)December 31, 1989 (aged 29)",8,"Red Star"
"322","Ivory Coast",23,"1GK","Badra Ali Sangaré","(1986-05-30)30 May 1986 (aged 33)",13,"Free State Stars"
"323","South Africa",1,"1GK","Darren Keet","(1989-08-05)5 August 1989 (aged 29)",9,"Bidvest Wits"
"324","South Africa",2,"2DF","Buhle Mkhwanazi","(1990-02-01)1 February 1990 (aged 29)",15,"Bidvest Wits"
"325","South Africa",3,"2DF","Innocent Maela","(1992-08-14)14 August 1992 (aged 26)",3,"Orlando Pirates"
"326","South Africa",4,"2DF","Daniel Cardoso","(1988-10-06)6 October 1988 (aged 30)",1,"Kaizer Chiefs"
"327","South Africa",5,"2DF","Thamsanqa Mkhize","(1988-08-18)18 August 1988 (aged 30)",6,"Cape Town City"
"328","South Africa",6,"2DF","Ramahlwe Mphahlele","(1990-02-01)1 February 1990 (aged 29)",14,"Kaizer Chiefs"
"329","South Africa",7,"4FW","Lebohang Maboe","(1994-09-17)17 September 1994 (aged 24)",7,"Mamelodi Sundowns"
"330","South Africa",8,"3MF","Bongani Zungu","(1992-10-09)9 October 1992 (aged 26)",24,"Amiens"
"331","South Africa",9,"4FW","Lebo Mothiba","(1996-01-28)28 January 1996 (aged 23)",7,"Strasbourg"
"332","South Africa",10,"3MF","Thulani Serero","(1990-11-04)4 November 1990 (aged 28)",40,"Vitesse"
"333","South Africa",11,"3MF","Themba Zwane","(1989-08-03)3 August 1989 (aged 29)",16,"Mamelodi Sundowns"
"334","South Africa",12,"3MF","Kamohelo Mokotjo","(1991-03-11)11 March 1991 (aged 28)",15,"Brentford"
"335","South Africa",13,"3MF","Samuel Mabunda","(1988-04-17)17 April 1988 (aged 31)",9,"Mamelodi Sundowns"
"336","South Africa",14,"2DF","Thulani Hlatshwayo","(1989-12-18)18 December 1989 (aged 29)",40,"Bidvest Wits"
"337","South Africa",15,"3MF","Dean Furman","(1988-06-22)22 June 1988 (aged 30)",49,"SuperSport United"
"338","South Africa",16,"1GK","Bruce Bvuma","(1995-05-13)13 May 1995 (aged 24)",0,"Kaizer Chiefs"
"339","South Africa",17,"3MF","Sibusiso Vilakazi","(1989-12-29)29 December 1989 (aged 29)",32,"Mamelodi Sundowns"
"340","South Africa",18,"2DF","Sifiso Hlanti","(1990-05-01)1 May 1990 (aged 29)",13,"Bidvest Wits"
"341","South Africa",19,"4FW","Percy Tau","(1994-05-13)13 May 1994 (aged 25)",18,"Union Saint-Gilloise"
"342","South Africa",20,"3MF","Hlompho Kekana","(1985-05-23)23 May 1985 (aged 34)",26,"Mamelodi Sundowns"
"343","South Africa",21,"4FW","Lars Veldwijk","(1991-08-21)21 August 1991 (aged 27)",2,"Sparta Rotterdam"
"344","South Africa",22,"1GK","Ronwen Williams","(1992-01-21)21 January 1992 (aged 27)",5,"SuperSport United"
"345","South Africa",23,"4FW","Thembinkosi Lorch","(1993-07-22)22 July 1993 (aged 25)",4,"Orlando Pirates"
"346","Namibia",1,"1GK","Maximilian Mbaeva","(1989-04-14)14 April 1989 (aged 30)",21,"Golden Arrows"
"347","Namibia",2,"2DF","Denzil Hoaseb","(1991-02-25)25 February 1991 (aged 28)",57,"Highlands Park"
"348","Namibia",3,"2DF","Ananias Gebhardt","(1988-09-08)8 September 1988 (aged 30)",42,"Baroka"
"349","Namibia",4,"2DF","Riaan Hanamub","(1995-02-08)8 February 1995 (aged 24)",19,"Jomo Cosmos"
"350","Namibia",5,"2DF","Charles Hambira","(1990-06-03)3 June 1990 (aged 29)",12,"Tura Magic"
"351","Namibia",6,"3MF","Larry Horaeb","(1991-11-12)12 November 1991 (aged 27)",44,"Tura Magic"
"352","Namibia",7,"3MF","Hotto Kavendji","(1991-10-29)29 October 1991 (aged 27)",44,"Bidvest Wits"
"353","Namibia",8,"3MF","Willy Stephanus","(1991-06-26)26 June 1991 (aged 27)",44,"Lusaka Dynamos"
"354","Namibia",9,"4FW","Benson Shilongo","(1992-05-18)18 May 1992 (aged 27)",26,"Ismaily"
"355","Namibia",10,"4FW","Manfred Starke","(1991-02-21)21 February 1991 (aged 28)",3,"Carl Zeiss Jena"
"356","Namibia",11,"3MF","Absalom Iimbondi","(1991-10-11)11 October 1991 (aged 27)",23,"United Africa Tigers"
"357","Namibia",12,"3MF","Ronald Ketjijere","(1987-12-12)12 December 1987 (aged 31)",64,"African Stars"
"358","Namibia",13,"4FW","Peter Shalulile","(1993-03-23)23 March 1993 (aged 26)",27,"Highlands Park"
"359","Namibia",14,"3MF","Joslin Kamatuka","(1991-07-22)22 July 1991 (aged 27)",7,"Cape Umoya United"
"360","Namibia",15,"3MF","Marcel Papama","(1996-04-28)28 April 1996 (aged 23)",5,"African Stars"
"361","Namibia",16,"1GK","Ratanda Mbazuvara","(1989-08-15)15 August 1989 (aged 29)",1,"African Stars"
"362","Namibia",17,"4FW","Itamunua Keimuine","(1993-05-01)1 May 1993 (aged 26)",28,"Dire Dawa City"
"363","Namibia",18,"4FW","Isaskar Gurirab","(1998-01-03)3 January 1998 (aged 21)",2,"Life Fighters"
"364","Namibia",19,"3MF","Petrus Shitembi","(1992-05-11)11 May 1992 (aged 27)",61,"Lusaka Dynamos"
"365","Namibia",20,"2DF","Ivan Kamberipa","(1994-02-03)3 February 1994 (aged 25)",2,"African Stars"
"366","Namibia",21,"3MF","Dynamo Fredericks","(1992-04-04)4 April 1992 (aged 27)",21,"Black Africa"
"367","Namibia",22,"2DF","Ryan Nyambe","(1997-12-04)4 December 1997 (aged 21)",0,"Blackburn Rovers"
"368","Namibia",23,"1GK","Lloyd Kazapua","(1989-03-25)25 March 1989 (aged 30)",14,"Maccabi"
"369","Tunisia",1,"1GK","Farouk Ben Mustapha","(1989-07-01)1 July 1989 (aged 29)",24,"Al-Shabab"
"370","Tunisia",2,"3MF","Wajdi Kechrida","(1995-11-05)5 November 1995 (aged 23)",1,"ES Sahel"
"371","Tunisia",3,"2DF","Dylan Bronn","(1995-06-19)19 June 1995 (aged 24)",11,"Gent"
"372","Tunisia",4,"2DF","Yassine Meriah","(1993-07-02)2 July 1993 (aged 25)",28,"Olympiacos"
"373","Tunisia",5,"2DF","Oussama Haddadi","(1992-01-28)28 January 1992 (aged 27)",15,"Dijon"
"374","Tunisia",6,"2DF","Rami Bedoui","(1990-01-19)19 January 1990 (aged 29)",14,"Al-Fayha"
"375","Tunisia",7,"3MF","Youssef Msakni","(1990-10-28)28 October 1990 (aged 28)",49,"Eupen"
"376","Tunisia",8,"4FW","Firas Chaouat","(1996-05-08)8 May 1996 (aged 23)",4,"CS Sfaxien"
"377","Tunisia",9,"3MF","Anice Badri","(1990-09-18)18 September 1990 (aged 28)",15,"ES Tunis"
"378","Tunisia",10,"4FW","Wahbi Khazri","(1991-02-08)8 February 1991 (aged 28)",43,"Saint-Étienne"
"379","Tunisia",11,"4FW","Taha Yassine Khenissi","(1992-01-06)6 January 1992 (aged 27)",23,"ES Tunis"
"380","Tunisia",12,"2DF","Karim Aouadhi","(1988-05-02)2 May 1988 (aged 31)",10,"ES Sahel"
"381","Tunisia",13,"3MF","Ferjani Sassi","(1992-03-18)18 March 1992 (aged 27)",45,"Zamalek"
"382","Tunisia",14,"2DF","Mohamed Dräger","(1996-06-25)25 June 1996 (aged 22)",4,"Paderborn 07"
"383","Tunisia",15,"3MF","Marc Lamti","(2001-01-28)28 January 2001 (aged 18)",1,"Bayer Leverkusen"
"384","Tunisia",16,"1GK","Mouez Hassen","(1995-03-05)5 March 1995 (aged 24)",5,"Nice"
"385","Tunisia",17,"3MF","Ellyes Skhiri","(1995-05-10)10 May 1995 (aged 24)",14,"Montpellier"
"386","Tunisia",18,"3MF","Bassem Srarfi","(1997-06-25)25 June 1997 (aged 21)",12,"Nice"
"387","Tunisia",19,"3MF","Ayman Ben Mohamed","(1994-12-08)8 December 1994 (aged 24)",2,"ES Tunis"
"388","Tunisia",20,"3MF","Ghailene Chaalali","(1994-02-28)28 February 1994 (aged 25)",8,"ES Tunis"
"389","Tunisia",21,"2DF","Nassim Hnid","(1997-03-12)12 March 1997 (aged 22)",1,"CS Sfaxien"
"390","Tunisia",22,"1GK","Moez Ben Cherifia","(1991-06-24)24 June 1991 (aged 27)",17,"ES Tunis"
"391","Tunisia",23,"3MF","Naïm Sliti","(1992-07-27)27 July 1992 (aged 26)",30,"Dijon"
"392","Mali",1,"1GK","Ibrahim Mounkoro","(1990-02-23)23 February 1990 (aged 29)",0,"TP Mazembe"
"393","Mali",2,"2DF","Hamari Traoré","(1992-01-27)27 January 1992 (aged 27)",18,"Rennes"
"394","Mali",3,"2DF","Youssouf Koné","(1995-07-05)5 July 1995 (aged 23)",12,"Lille"
"395","Mali",4,"3MF","Amadou Haidara","(1998-01-31)31 January 1998 (aged 21)",6,"RB Leipzig"
"396","Mali",5,"2DF","Kiki Kouyaté","(1997-04-15)15 April 1997 (aged 22)",1,"Troyes"
"397","Mali",6,"2DF","Massadio Haïdara","(1992-12-02)2 December 1992 (aged 26)",1,"Lens"
"398","Mali",7,"3MF","Moussa Doumbia","(1994-08-15)15 August 1994 (aged 24)",17,"Reims"
"399","Mali",8,"3MF","Diadie Samassékou","(1996-01-11)11 January 1996 (aged 23)",8,"Red Bull Salzburg"
"400","Mali",9,"4FW","Moussa Marega","(1991-04-14)14 April 1991 (aged 28)",20,"Porto"
"401","Mali",10,"4FW","Kalifa Coulibaly","(1991-08-21)21 August 1991 (aged 27)",14,"Nantes"
"402","Mali",11,"3MF","Lassana Coulibaly","(1996-04-10)10 April 1996 (aged 23)",14,"Rangers"
"403","Mali",12,"4FW","Sékou Koïta","(1999-11-28)28 November 1999 (aged 19)",0,"Wolfsberg"
"404","Mali",13,"2DF","Molla Wagué","(1991-02-21)21 February 1991 (aged 28)",30,"Nottingham Forest"
"405","Mali",14,"3MF","Adama Traoré","(1995-06-05)5 June 1995 (aged 24)",19,"Orléans"
"406","Mali",15,"2DF","Mamadou Fofana","(1998-01-21)21 January 1998 (aged 21)",9,"Metz"
"407","Mali",16,"1GK","Djigui Diarra","(1995-02-27)27 February 1995 (aged 24)",25,"Stade Malien"
"408","Mali",17,"2DF","Falaye Sacko","(1995-05-01)1 May 1995 (aged 24)",8,"Vitória de Guimarães"
"409","Mali",18,"3MF","Cheick Doucouré","(2000-01-08)8 January 2000 (aged 19)",2,"Lens"
"410","Mali",19,"3MF","Moussa Djenepo","(1998-06-15)15 June 1998 (aged 21)",9,"Southampton"
"411","Mali",20,"4FW","Adama Niane","(1993-06-16)16 June 1993 (aged 26)",5,"Charleroi"
"412","Mali",21,"3MF","Adama Traoré","(1995-06-28)28 June 1995 (aged 23)",8,"Cercle Brugge"
"413","Mali",22,"1GK","Adama Kéïta","(1990-05-03)3 May 1990 (aged 29)",1,"Djoliba"
"414","Mali",23,"4FW","Abdoulay Diaby","(1991-05-21)21 May 1991 (aged 28)",17,"Sporting CP"
"415","Mauritania",1,"1GK","Brahim Souleymane","(1986-12-30)30 December 1986 (aged 32)",23,"ACS Ksar"
"416","Mauritania",2,"2DF","Moustapha Diaw","(1996-12-31)31 December 1996 (aged 22)",28,"Tevragh-Zeïna"
"417","Mauritania",3,"2DF","Aly Abeid","(1997-12-11)11 December 1997 (aged 21)",28,"Alcorcón"
"418","Mauritania",4,"2DF","Harouna Abou Demba","(1991-12-31)31 December 1991 (aged 27)",8,"Grenoble"
"419","Mauritania",5,"2DF","Abdoul Ba","(1994-02-08)8 February 1994 (aged 25)",28,"Auxerre"
"420","Mauritania",6,"3MF","Khassa Camara","(1992-10-22)22 October 1992 (aged 26)",31,"Xanthi"
"421","Mauritania",7,"4FW","Ismaël Diakité","(1991-12-13)13 December 1991 (aged 27)",42,"US Tataouine"
"422","Mauritania",8,"3MF","Diallo Guidilèye","(1989-12-30)30 December 1989 (aged 29)",22,"Elazigspor"
"423","Mauritania",9,"4FW","Hemeya Tanjy","(1998-05-01)1 May 1998 (aged 21)",6,"Nouadhibou"
"424","Mauritania",10,"4FW","Adama Ba","(1993-08-27)27 August 1993 (aged 25)",23,"Giresunspor"
"425","Mauritania",11,"4FW","Bessam","(1987-12-05)5 December 1987 (aged 31)",47,"AS Gabès"
"426","Mauritania",12,"3MF","Alassane Diop","(1997-09-22)22 September 1997 (aged 21)",7,"Hajer"
"427","Mauritania",13,"2DF","Sally Sarr","(1986-05-06)6 May 1986 (aged 33)",12,"Servette"
"428","Mauritania",14,"3MF","Mohamed Yali","(1997-11-01)1 November 1997 (aged 21)",31,"DRB Tadjenanet"
"429","Mauritania",15,"2DF","Bakary N'Diaye","(1998-11-26)26 November 1998 (aged 20)",16,"Difaâ El Jadidi"
"430","Mauritania",16,"1GK","Namori Diaw","(1991-12-30)30 December 1991 (aged 27)",2,"ASC Kédia"
"431","Mauritania",17,"4FW","Souleymane Anne","(1997-12-05)5 December 1997 (aged 21)",1,"Aurillac Arpajon"
"432","Mauritania",18,"3MF","Moctar Sidi El Hacen","(1997-12-31)31 December 1997 (aged 21)",35,"Valladolid"
"433","Mauritania",19,"3MF","Ibréhima Coulibaly","(1989-07-30)30 July 1989 (aged 29)",1,"Grenoble"
"434","Mauritania",20,"2DF","Abdoulkader Thiam","(1998-10-03)3 October 1998 (aged 20)",3,"Orléans"
"435","Mauritania",21,"2DF","Diadié Diarra","(1993-01-23)23 January 1993 (aged 26)",4,"Sedan"
"436","Mauritania",22,"1GK","Babacar Diop","(1995-09-17)17 September 1995 (aged 23)",1,"ASC Police"
"437","Mauritania",23,"3MF","Silèye Gaye","(1991-09-13)13 September 1991 (aged 27)",41,"Nouadhibou"
"438","Angola",1,"1GK","Ndulo","(1996-06-01)1 June 1996 (aged 23)",1,"Académica do Lobito"
"439","Angola",2,"2DF","Bruno Gaspar","(1993-04-21) 21 April 1993 (age 26)",0,"Sporting CP"
"440","Angola",3,"2DF","Jonathan Buatu","(1993-09-27)27 September 1993 (aged 25)",15,"Rio Ave"
"441","Angola",4,"3MF","Show","(1999-03-06)6 March 1999 (aged 20)",10,"1° de Agosto"
"442","Angola",5,"2DF","Dani Massunguna","(1986-05-01)1 May 1986 (aged 33)",46,"1° de Agosto"
"443","Angola",6,"2DF","Wilson Carmo","(1990-09-29)29 September 1990 (aged 28)",13,"Petro de Luanda"
"444","Angola",7,"4FW","Djalma","(1987-05-30)30 May 1987 (aged 32)",46,"Alanyaspor"
"445","Angola",8,"2DF","Paízo","(1992-05-10)10 May 1992 (aged 27)",9,"1° de Agosto"
"446","Angola",9,"4FW","Fredy Kulembé","(1990-03-27)27 March 1990 (aged 29)",21,"Antalyaspor"
"447","Angola",10,"4FW","Gelson Dala","(1996-07-13)13 July 1996 (aged 22)",22,"Rio Ave"
"448","Angola",11,"4FW","Geraldo","(1991-11-23)23 November 1991 (aged 27)",20,"Al Ahly"
"449","Angola",12,"1GK","Tony Cabaça","(1986-04-23)23 April 1986 (aged 33)",1,"1° de Agosto"
"450","Angola",13,"3MF","José Macaia","(1994-03-24)24 March 1994 (aged 25)",0,"1° de Agosto"
"451","Angola",14,"4FW","Mabululu","(1989-09-10)10 September 1989 (aged 29)",7,"1° de Agosto"
"452","Angola",15,"2DF","Bastos","(1991-11-23)23 November 1991 (aged 27)",44,"Lazio"
"453","Angola",16,"3MF","Stélvio","(1989-01-24)24 January 1989 (aged 30)",10,"Dudelange"
"454","Angola",17,"4FW","Mateus","(1984-06-19)19 June 1984 (aged 35)",59,"Boavista"
"455","Angola",18,"3MF","Herenilson","(1996-08-26)26 August 1996 (aged 22)",22,"Petro de Luanda"
"456","Angola",19,"4FW","Evandro Brandão","(1991-05-07)7 May 1991 (aged 28)",1,"Leixoes S.C."
"457","Angola",20,"4FW","Wilson Eduardo","(1990-07-08)8 July 1990 (aged 28)",1,"Braga"
"458","Angola",21,"2DF","Isaac Correia","(1991-04-25)25 April 1991 (aged 28)",17,"1° de Agosto"
"459","Angola",22,"1GK","Landú","(1990-01-04)4 January 1990 (aged 29)",34,"Interclube"
"460","Angola",23,"2DF","Eddie Afonso","(1994-03-07)7 March 1994 (aged 25)",11,"Petro de Luanda"
"461","Cameroon",1,"1GK","André Onana","(1996-04-02)2 April 1996 (aged 23)",9,"Ajax"
"462","Cameroon",2,"2DF","Collins Fai","(1992-11-23)23 November 1992 (aged 26)",23,"Standard Liège"
"463","Cameroon",3,"2DF","Gaëtan Bong","(1988-04-25)25 April 1988 (aged 31)",15,"Brighton & Hove Albion"
"464","Cameroon",4,"2DF","Banana Yaya","(1991-07-29)29 July 1991 (aged 27)",11,"Panionios"
"465","Cameroon",5,"2DF","Michael Ngadeu-Ngadjui","(1990-11-23)23 November 1990 (aged 28)",25,"Slavia Prague"
"466","Cameroon",6,"2DF","Ambroise Oyongo","(1991-06-22)22 June 1991 (aged 27)",37,"Montpellier"
"467","Cameroon",7,"4FW","Clinton N'Jie","(1993-08-15)15 August 1993 (aged 25)",25,"Marseille"
"468","Cameroon",8,"3MF","André-Frank Zambo Anguissa","(1995-11-16)16 November 1995 (aged 23)",16,"Fulham"
"469","Cameroon",9,"4FW","Stéphane Bahoken","(1992-05-28)28 May 1992 (aged 27)",5,"Angers"
"470","Cameroon",10,"3MF","Arnaud Djoum","(1989-05-02)2 May 1989 (aged 30)",19,"Heart of Midlothian"
"471","Cameroon",11,"3MF","Christian Bassogog","(1995-10-18)18 October 1995 (aged 23)",21,"Henan Jianye"
"472","Cameroon",12,"2DF","Joyskim Dawa","(1996-04-09)9 April 1996 (aged 23)",1,"Mariupol"
"473","Cameroon",13,"4FW","Eric Maxim Choupo-Moting","(1989-03-23)23 March 1989 (aged 30)",50,"Paris Saint-Germain"
"474","Cameroon",14,"3MF","Georges Mandjeck","(1988-12-09)9 December 1988 (aged 30)",46,"Maccabi Haifa"
